Level US;Level FR;Question;Variables;Variables (no units);Formula;Test Answer;Numeric answer;Units 1;Solve function;Full Answer;Final Snippet
9;Seconde;A body starts from a point with an initial speed of \( v_0 = 10 \, \mathrm{m/s} \) and a constant acceleration of \( a = 2 \, \mathrm{m/s^2} \). What is the distance traveled after \( t = 5 \, \mathrm{s} \)?;v0=10 m/s, a=2 m/s^2, t=5 s;v0:10, a:2, t:5;v0 * t + 0.5 * a * (t**2);The distance traveled is given by the formula: \[ x = v_0 t + \frac{1}{2} a t^2 \] Substituting the values: \[ x = 10 \cdot 5 + \frac{1}{2} \cdot 2 \cdot 5^2 = 50 + 25 = 75 \, \mathrm{m} \] The distance traveled is therefore \( x = 75 \, \mathrm{m} \).;75;m;"def solve(v0;a;t): dist=v0*t+0.5*a*(t**2);return f'{dist} m'";"Q1
To find the distance traveled by the body, we'll use the equation for uniformly accelerated motion:
\[ s(t) = v_0t + \frac{1}{2}at^2 \]

Given:
- Initial speed: \( v_0 = 10 \, \mathrm{m/s} \)
- Acceleration: \( a = 2 \, \mathrm{m/s^2} \)
- Time: \( t = 5 \, \mathrm{s} \)

First, we substitute the given values into the equation:
\[ s(5) = (10 \, \mathrm{m/s})\times(5 \, \mathrm{s}) + \frac{1}{2}(2 \, \mathrm{m/s^2})(5 \, \mathrm{s})^2 \]

Simplifying inside the parentheses and then performing the multiplication:
\[ s(5) = 50 \, \mathrm{m} + \frac{1}{2}\times 2 \, \mathrm{m/s^2} \times 25 \, \mathrm{s}^2 \]
\[ s(5) = 50 \, \mathrm{m} + (2 \, \mathrm{m})\times 25 \, \mathrm{s^2/s^2} \]

Here, we notice that \( \frac{1}{2}\times 2=1 \), and since the units of acceleration and time squared cancel out in the last multiplication, it simplifies to just a number (without units):
\[ s(5) = 50 + 25 \]
\[ s(5) = 75 \]

Therefore,
<A> 75 m <\A>";75 m
7;5;A person walks at a constant speed of \( v = 1.5 \, \mathrm{m/s} \) for \( t = 10 \, \mathrm{s} \). What distance do they cover?;v=1.5 m/s, t=10 s;v:1.5, t:10;v * t;The distance traveled is given by: \[ x = v \cdot t \] Substituting the values: \[ x = 1.5 \cdot 10 = 15 \, \mathrm{m} \] The distance traveled is therefore \( x = 15 \, \mathrm{m} \).;15;m;"def solve(v;a;t): dist=v*t;return f'{dist} m'";"To find the distance covered by the person, we can use the formula for distance:

Distance = Speed × Time

Given:
- Speed (\( v \)) = \( 1.5 \, \mathrm{m/s} \)
- Time (\( t \)) = \( 10 \, \mathrm{s} \)

Plugging in the values into the distance formula:

Distance = \( 1.5 \, \mathrm{m/s} \times 10 \, \mathrm{s} \)

To find the product of speed and time (which is in seconds), we multiply them together:

Distance = \( 15 \, \mathrm{m} \)

Therefore, the person covers a distance of:
<A> 15 m <\A>";15 m
9;2;An object falls freely from rest. What distance does it cover after \( t = 3 \, \mathrm{s} \), assuming a gravitational acceleration of \( g = 9.8 \, \mathrm{m/s^2} \)?;g=9.8 m/s^2, t=3 s;g:9.8, t:3;0.5 * g * (t**2);The distance traveled is given by: \[ x = \frac{1}{2} g t^2 \] Substituting the values: \[ x = \frac{1}{2} \cdot 9.8 \cdot 3^2 = 4.9 \cdot 9 = 44.1 \, \mathrm{m} \] The distance traveled is therefore \( x = 44.1 \, \mathrm{m} \).;44.1;m;"def solve(g;a;t): dist=0.5*g*(t**2);return f'{dist} m'";"To find the distance covered by an object falling freely under gravity, we can use the equation for the position of an object under constant acceleration:

\[ x(t) = x_0 + v_0 t + \frac{1}{2} a t^2 \]

Here:
- \(x_0\) is the initial position (which is 0 in this case since it starts from rest),
- \(v_0\) is the initial velocity (also 0, since it starts from rest),
- \(a\) is the acceleration due to gravity (\(9.8 \, \mathrm{m/s^2}\)),
- \(t\) is the time elapsed.

Given values are:
- \( g = 9.8 \, \mathrm{m/s^2} \),
- \( t = 3 \, \mathrm{s} \).

Plugging these into our equation:

\[ x(3) = 0 + 0(3) + \frac{1}{2} (9.8 \, \mathrm{m/s^2})(3 \, \mathrm{s})^2 \]

\[ x(3) = 0 + 0 + \frac{1}{2} (9.8)(9) \]

\[ x(3) = 0 + 0 + \frac{1}{2}(88.2) \]

\[ x(3) = 44.1 \, \mathrm{m} \]

So, after \( t = 3 \, \mathrm{s} \), the object has covered a distance of:

<A> 44.1 m <\A>";44.1 m
11;0;A projectile is launched vertically upward with an initial velocity of \( v_0 = 20 \, \mathrm{m/s} \). What is the maximum height reached by the projectile? Assume \( g = 9.8 \, \mathrm{m/s^2} \).;v0=20 m/s, g=9.8 m/s^2;v0:20, g:9.8;(v0**2)/(2*g);The maximum height is given by: \[ h = \frac{v_0^2}{2 g} \] ...;20.41;m;"def solve(v0;a;g): h=(v0**2)/(2*g);return f'{h} m'";"Q1
Step 1: Identify the given parameters and what we need to find.
- Initial velocity (\( v_0 \)) is 20 m/s.
- Acceleration due to gravity (g) is 9.8 m/s^2.
- We want to find the maximum height (h) reached by the projectile.

Step 2: Recall that the maximum height of a projectile launched vertically upward can be found using the equation derived from the kinematic equations where \( v = v_0 \) at the highest point:
\[ v^2 = v_0^2 - 2gh \]
Since we're looking for h, and rearranging to solve for it gives us:
\[ h = \frac{v_0^2}{2g} \]

Step 3: Substitute the given values into the equation.
- \( v_0 = 20 \, \mathrm{m/s} \)
- \( g = 9.8 \, \mathrm{m/s^2} \)

\[ h = \frac{(20)^2}{2(9.8)} \]

Step 4: Perform the calculation to find h.
\[ h = \frac{400}{19.6} \]
\[ h ≈ 20.41 \, \mathrm{m} \]

So, the maximum height reached by the projectile is approximately:
<A> 20.41 m <\A>";20.41 m
Undergraduate;L3;An electron is in a one-dimensional infinite potential well of width \( L = 1 \, \mathrm{nm} \). What is the wavelength associated with the ground state (\( n = 1 \))?;L=1 nm, n=1;L:1, n:1;2*L/n;For an infinite potential well, ...;2 * 10^-9;m;"def solve(L_nm;a;n): lam=2*L_nm/n;return f'{lam} nm'";"Q1
Step 1: Identify the relevant formula for the energy levels in an infinite potential well.
For a one-dimensional infinite potential well of width L, the energy levels are given by:
\[ E_n = \frac{n^2 h^2}{8 m L^2} \]

where n is the quantum number (n = 1, 2, 3,...), h is Planck's constant, and m is the mass of the particle.

Step 2: Determine the energy for the ground state (n = 1).
Since we are looking for the wavelength associated with the ground state, we need to find the energy E_1.
\[ E_1 = \frac{1^2 h^2}{8 m L^2} = \frac{h^2}{8 m L^2} \]

Step 3: Use the de Broglie relation to find the wavelength associated with this energy.
The de Broglie relation states that:
\[ E = \frac{p^2}{2m} \]
We can rearrange this equation to solve for p:
\[ p = \sqrt{2 m E} \]

Using the de Broglie relation, we can find the wavelength λ associated with the energy E_1.
Since momentum is given by:
\[ p = h / \lambda \]

Step 4: Substitute values and calculate the wavelength.

First, convert L from nm to m:

L = 1 nm = 1 * (10^-9) m

Planck's constant in J s is approximately equal to 6.626 * 10^-34.

The mass of an electron is approximately equal to 9.109 * 10^-31 kg.

Now, substitute the values into the formula for E_1:
\[ E_1 = \frac{h^2}{8 m L^2} = \frac{(6.626 * 10^{-34})^2}{8 (9.109 * 10^{-31}) (1 * 10^-18)^2} = 6.025 * 10^-17 J \]

Next, find the momentum p:
\[ p = \sqrt{2 m E_1} = \sqrt{(2)(9.109*10^{-31})(6.025*10^{-17})} = 3.024*10^{-23} kg.m/s \]

Finally, use the de Broglie relation to find the wavelength λ:
\[ p = h / \lambda \]
Rearrange to solve for λ:
\[ \lambda = h / p \]

Substitute values:
\[ \lambda = (6.626 * 10^{-34}) / (3.024*10^-23) \approx 2.19 * 10^-11 m \]

Therefore, the wavelength associated with the ground state is approximately:

<A> 2.19 * 10^-11 m <\A>";2.19 * 10^-11 m
Graduate;M1;Consider a dense star (such as a white dwarf) with a radius of \( R = 5000 \, \mathrm{km} \). What is the Schwarzschild radius (\( R_s \)) associated if the star collapses into a black hole? Use \( G = 6.674 \cdot 10^{-11} \, \mathrm{m^3 \cdot kg^{-1} \cdot s^{-2}} \), \( c = 3.00 \cdot 10^8 \, \mathrm{m/s} \), and a typical stellar mass \( M = 2 \cdot 10^{30} \, \mathrm{kg} \).;G=6.674e-11, M=2e30 kg, c=3.00e8 m/s;G:6.674e-11, M:2e30, c:3.00e8;(2 * G * M)/(c**2);The Schwarzschild radius ... ~ 2.97 * 10^3 m;2.97 * 10^3;m;"def solve(G;M;c): Rs=(2*G*M)/(c**2);return f'{Rs} m'";"Q1
The Schwarzschild radius (R_s) can be calculated using the formula R_s = 2GM/c^2, where G is the gravitational constant, M is the mass of the star, and c is the speed of light. We need to ensure that all quantities are in SI units.

Given values:
- R = 5000 km (radius of the star)
- G = 6.674 * 10^-11 m^3 kg^-1 s^-2
- c = 3.00 * 10^8 m/s
- M = 2 * 10^30 kg

First, convert the radius from kilometers to meters:
R = 5000 km = 5,000,000 m (not needed since we're calculating R_s, which does not depend on R)

Next, plug in the values for G, c, and M into the formula R_s = 2GM/c^2:

R_s = 2 * (6.674 * 10^-11 m^3 kg^-1 s^-2) * (2 * 10^30 kg) / ((3.00 * 10^8 m/s)^2)

Now, perform the arithmetic:
R_s = (2 * 6.674 * 10^-11 * 2 * 10^30) / (9 * 10^16)
R_s = (2.67 * 10^-5 kg^3 s^-2) / (9 * 10^16 m^2/s^2)

To calculate this, multiply the numerator first and then divide by the denominator:
(2.67 * 10^-5) / (9 * 10^16) = 2.967 * 10^-22

However, to maintain precision for our calculation involving very large numbers, consider the factors in front of the powers of ten separately:

R_s = ((2.67 * 10^-5) * (2 * 10^30)) / ((9 * 10^16))
= ((2.67 * 2) * (10^-5 + 30)) / ((9) * 10^(16 - 5))
= (5.34 * 10^25) / (9 * 10^11)

Separate the factors in front of the powers of ten:
R_s = (5.34 * 10^12) / (9)
Now calculate this:
R_s = 593.333... meters

To write our answer according to the required format, we should actually maintain a significant number of digits given the original input values.
Thus,
Q1
The Schwarzschild radius is approximately R_s ≈ <A> 5.93 * 10^2 m <\A>.";5.93 * 10^2 m
Grad/Doc;M2/Doc;An ultra-relativistic neutrino travels with an energy of \( E = 1 \, \mathrm{TeV} \). What is its associated Compton wavelength? (Use \( h = 6.626 \cdot 10^{-34} \, \mathrm{J \cdot s} \) and \( c = 3.00 \cdot 10^8 \, \mathrm{m/s} \)).;h=6.626e-34 J*s, c=3.00e8 m/s, E=1 TeV;h:6.626e-34, c:3.00e8, E:1;(h*c)/E;The wavelength is given by: \[ \lambda = (h c)/E \] ...;1.24 * 10^-18;m;"def solve(h;c;E): lam=(h*c)/E;return f'{lam} m'";"Q1
To find the Compton wavelength associated with the energy of the ultra-relativistic neutrino, we need to use the formula for the energy of a particle in special relativity, which is \( E = mc^2 \), and then solve for the rest mass \( m \) from this equation. With the rest mass determined, we can find the Compton wavelength using the standard formula:

\[ \lambda_C = \frac{h}{mc} \]

Given that the neutrino has an energy of \( 1 \, \mathrm{TeV} = 10^12 \, \mathrm{eV} = 10^{21} \, \mathrm{J/s} \), we first solve for its rest mass:

\[ m = \frac{E}{c^2} \]

Using the given value of \( E = 1 \, \mathrm{TeV} \) and plugging in the values of \( h \), \( c \), and converting the energy to Joules:
\[ m = \frac{10^{21}}{(3.00 \cdot 10^8)^2} = \frac{10^{21}}{9.00 \cdot 10^{16}} \]

Calculating this gives us:
\[ m = 1.11 \times 10^{-4} \, \mathrm{kg} \]

Now that we have the rest mass \( m \), we can calculate the Compton wavelength using the standard formula:
\[ \lambda_C = \frac{h}{mc} \]
Plugging in the values for \( h \), \( m \) as calculated above, and \( c \):
\[ \lambda_C = \frac{(6.626 \cdot 10^{-34})}{(1.11 \times 10^{-4})(3.00 \cdot 10^8)} \]

Performing this calculation gives us the Compton wavelength of:
\[ \lambda_C \approx 2.42 \times 10^{-17} \, \mathrm{m} \]

Therefore,
<A> $2.42 \times 10^{-17}$ [m] <\A>";$2.42 \times 10^{-17}$ [m]
10;1;A car travels at a constant speed of \( v = 60 \, \mathrm{mph} \) for \( t = 2 \, \mathrm{hours} \). How far does it travel?;v=60 mph, t=2 h;v:60, t:2;v * t;Distance is given by \[ x = v \cdot t \] ...=120 miles.;120;miles;"def solve(v;a;t): dist=v*t;return f'{dist} miles'";"To find the distance traveled by the car, we can use the formula:

\[ d = vt \]

where:
- \( d \) is the distance traveled,
- \( v \) is the constant speed of the car (which needs to be converted from miles per hour to meters per second),
- \( t \) is the time during which the car travels at this speed.

First, we need to convert the speed from miles per hour to meters per second:
\[ 1 \, \mathrm{mile} = 1609.34 \, \mathrm{meters}, \]
\[ 1 \, \mathrm{hour} = 3600 \, \mathrm{seconds}. \]

Therefore,
\[ v = 60 \, \frac{\mathrm{miles}}{\mathrm{hour}} = 60 \times \frac{1609.34 \, \mathrm{meters}}{1 \, \mathrm{mile}} \times \frac{1}{3600 \, \mathrm{hours}} = \frac{96.57624 \, \mathrm{meters}}{\mathrm{second}}. \]

Now that we have the speed in meters per second and the time in seconds, we can calculate the distance:
\[ d = vt = 96.57624 \, \frac{\mathrm{meters}}{\mathrm{second}} \times 7200 \, \mathrm{seconds} = 695890.88 \, \mathrm{meters}. \]

Thus,
<A> 695891 meters <\A>";695891 meters
Undergraduate;L3;A mass-spring system has \( k = 200 \, \mathrm{N/m} \) and \( m = 0.5 \, \mathrm{kg} \). What is the angular frequency \(\omega\)?;k=200 N/m, m=0.5 kg;k:200, m:0.5;(k/m)**0.5;The angular frequency ...=20 rad/s.;20;rad/s;"def solve(k;a;m): w=(k/m)**0.5;return f'{w} rad/s'";"Q1
Step 1: Recall the formula for calculating the angular frequency of a mass-spring system.
The angular frequency \(\omega\) can be calculated using the formula:
\[ \omega = \sqrt{\frac{k}{m}} \]
where \( k \) is the spring constant and \( m \) is the mass.

Step 2: Plug in the given values for \( k \) and \( m \).
Given that \( k = 200 \, \mathrm{N/m} \) and \( m = 0.5 \, \mathrm{kg} \), we can substitute these values into the formula:
\[ \omega = \sqrt{\frac{200 \, \mathrm{N/m}}{0.5 \, \mathrm{kg}}} \]

Step 3: Perform the calculation inside the square root.
First, divide \( k \) by \( m \):
\[ \frac{k}{m} = \frac{200 \, \mathrm{N/m}}{0.5 \, \mathrm{kg}} = 400 \, \mathrm{rad^2/s^2} \]
Then, take the square root of this result:
\[ \omega = \sqrt{400 \, \mathrm{rad^2/s^2}} = 20 \, \mathrm{rad/s} \]

Step 4: Write down the final answer in the required format.
<A> 20 rad/s <\A>";20 rad/s
7;5;A marathon length is a\approximately \(26.2 \, \mathrm{miles}\). Convert this distance into kilometers, given \(1 \, \mathrm{mile} \approx 1.609 \, \mathrm{km}\).;distance_miles=26.2, 1mile=1.609;distance_miles:26.2, 1mile:1.609;distance_miles * 1.609;Converting ... ~42.16 km;42.16;km;"def solve(distance_miles;a): dist_km=distance_miles*a;return f'{dist_km} km'";"Q1
To convert the distance of a marathon length from miles to kilometers, we need to multiply the number of miles by the conversion factor (in this case, the number of kilometers per mile).

Given that \(1 \, \mathrm{mile} \approx 1.609 \, \mathrm{km}\), we can set up the following equation:

\(26.2 \, \mathrm{miles} \times 1.609 \, \mathrm{km/mile}\)

First, multiply the number of miles by the conversion factor:
\(26.2 \times 1.609 = 42.18\)

Now we have the distance in kilometers.

<A> 42.18 km <\A>";42.18 km
Graduate;M1;A star with luminosity \( L = 3.828 \times 10^{26} \, \mathrm{W} \) (like the Sun) illuminates a planet at distance \( d = 1.496 \times 10^{11} \, \mathrm{m} \). What is the intensity at that distance?;L=3.828e26 W, d=1.496e11 m;L:3.828e26, d:1.496e11;L/(4*pi*(d**2));Intensity=...=1360 W/m^2;1360;W/m^2;"def solve(L;a;d): import math;I=L/(4*math.pi*(d**2));return f'{I} W/m^2'";"Q1
To find the intensity at the given distance from the star, we'll use the formula:

Intensity (I) = Luminosity (L) / Surface area of a sphere (A)

Since the surface area of a sphere with radius \( r \) is given by \( A = 4\pi r^2 \), and in this case, the distance \( d \) from the star to the planet plays the role of \( r \), we can write:

Intensity (I) = Luminosity (L) / (4πd²)

First, let's plug in the given values for luminosity and distance.

Given:
- Luminosity (L) = 3.828 × 10^{26} W
- Distance (d) = 1.496 × 10^{11} m

Now, substitute these into our formula:

Intensity (I) = Luminosity (L) / (4πd²)
              = (3.828 × 10^{26}) / ((4 × π × (1.496 × 10^{11})^2)

Next, let's calculate the value of \( d^2 \):

\( d^2 = (1.496 \times 10^{11} m)^2 = 2.23936 \times 10^{22} m^2 \)

Now plug this into our formula:

Intensity (I) = (3.828 × 10^{26}) / ((4 × π × 2.23936 × 10^{22}))

Perform the multiplication inside the denominator first:

\( 4\pi(1.496)^2 = 4 \times \pi \times 2.23936 \times 10^{22} ≈ 8.794 \times 10^{23} m^2 \)

Now let's do the division to find the intensity:

Intensity (I) = (3.828 × 10^{26}) / (8.794 × 10^{23})
              ≈ 0.435 W/m²

Therefore, the intensity at that distance is approximately:
<A> 0.435 W/m^2 <\A>";0.435 W/m^2
8;5;A cyclist rides at a speed of \( v = 20 \, \mathrm{km/h} \) for \( t = 30 \, \mathrm{minutes} \). What distance do they cover in meters?;v=20 km/h, t=30 min;v:20, t:30;v * t;First convert time => hours ... => 10000 m;10000;m;"def solve(v;a;t): th=t/60;dist_km=v*th;dist_m=dist_km*1000;return f'{dist_m} m'";"To find the distance covered by the cyclist, we first need to convert their speed from kilometers per hour to meters per second.

\( v = 20 \, \mathrm{km/h} = 20 \times \frac{1000 \, \mathrm{m}}{3600 \, \mathrm{s}} = \frac{20000}{3600} \, \mathrm{m/s} = 5.5556 \, \mathrm{m/s} \)

Now that we have the speed in meters per second, we can multiply it by the time to find the distance.

\( d = v \times t = 5.5556 \, \mathrm{m/s} \times 30 \, \mathrm{s} = 166.667 \, \mathrm{m} \)

So, the cyclist covers a distance of approximately:

<A> 166.7 m <\A>";166.7 m
12;0;A comet travels at \( v = 40 \, \mathrm{km/s} \) for \( t = 1 \, \mathrm{day} \). How far does it travel in kilometers? (1 day = 86400 s);v=40 km/s, t=1 day=86400 s;v:40, t:86400;v * t;=3,456,000 km;3456000;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'";"To find the distance traveled by the comet, we need to use the formula:

\[d = vt\]

where:
- \(v\) is the velocity of the comet (\(40 \, \mathrm{km/s}\))
- \(t\) is the time for which it travels (\(1 \, \mathrm{day} = 86400 \, \mathrm{s}\))

First, we need to convert both values to a consistent unit. The velocity is already given in kilometers per second (\(\mathrm{km/s}\)), so we don't need to change that. Time needs to be converted from seconds to days for consistency, but since the question involves converting time into seconds, no conversion of time is actually necessary here.

Now, let's substitute the values:

\[d = (40 \, \mathrm{km/s}) \times (86400 \, \mathrm{s})\]

The units are consistent (\(\mathrm{km} \times \mathrm{s}\)), which simplifies to kilometers. 

Multiplying these numbers gives us:
\[d = 40 \times 86400 = 3456000 \, \mathrm{km}\]

So, the comet travels \(3,456,000 \, \mathrm{km}\) in a day.

<A> 3456000 km <\A>";3456000 km
Undergraduate;L2;An object moves at \( 50 \, \mathrm{cm/s} \) for \( 200 \, \mathrm{s} \). How far does it travel in meters?;v=50 cm/s, t=200 s;v:50, t:200;v * t;=100 m;100;m;"def solve(v;a;t): dist_cm=v*t;dist_m=dist_cm/100;return f'{dist_m} m'";"Q1
To find the distance traveled by the object, we need to use the formula for displacement (distance traveled), which is given by:

\( d = v \times t \)

where:
- \( d \) is the distance (displacement) traveled,
- \( v \) is the velocity of the object (\( 50 \, \mathrm{cm/s} \)),
- \( t \) is the time for which the object moves (\( 200 \, \mathrm{s} \)).

However, we need to convert the initial velocity from centimeters per second to meters per second since the final distance needs to be in meters. There are 100 centimeters in a meter, so:

\( v = 50 \, \mathrm{cm/s} = 0.5 \, \mathrm{m/s} \)

Now we can calculate the distance traveled using the formula:

\( d = 0.5 \, \mathrm{m/s} \times 200 \, \mathrm{s} = 100 \, \mathrm{m} \)

So, the object travels a total distance of \( 100 \) meters.

<A> 100 m <\A>";100 m
11;1;A plane flies at \( v = 900 \, \mathrm{km/h} \) for \( t = 2.5 \, \mathrm{h} \). How far does it travel in kilometers?;v=900 km/h, t=2.5 h;v:900, t:2.5;v * t;=2250 km;2250;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'";"Q1
The distance traveled by the plane is given by the product of its velocity and time.
\( d = v \times t \)
Given values:
\( v = 900 \, \mathrm{km/h} \) (velocity)
\( t = 2.5 \, \mathrm{h} \) (time)

Substituting these into the formula gives us:
\( d = 900 \times 2.5 \, \mathrm{km.h}^{-1}\times\mathrm{h} \)
Using the fact that \( \mathrm{km/h}^{-1}\times\mathrm{h}= \mathrm{km} \), we can simplify this to:
\( d = 2250 \, \mathrm{km} \)

So the plane travels a distance of:

<A> 2250 km <\A>";2250 km
4;CM2;A student runs at a constant speed of \( v = 2 \, \mathrm{m/s} \) for \( t = 300 \, \mathrm{s} \). How far does the student run in meters?;v=2 m/s, t=300 s;v:2, t:300;v * t;=600 m;600;m;"def solve(v;a;t): dist=v*t;return f'{dist} m'";"Q1
To find out how far the student runs, we can use the formula for distance traveled at a constant speed:

distance (d) = speed (v) × time (t)

Given:
v = 2 m/s and t = 300 s

The formula is d = v × t. Plugging in the given values, we get:

d = 2 m/s × 300 s
= 600 m

Therefore, the student runs a distance of <A> 600 m <\A>.";600 m
